game,ale_env,action_space,obs_rows,obs_cols,openai-es,dqn,a2cFF,a3cFF_1day,uct,hyperneat
Demon Attack,ALE/DemonAttack-v5,6,210,160,"1,166.50","12,835.20","23,657.70","84,997.50","28,158.80","3,590.00"
Donkey Kong,ALE/DonkeyKong-v5,18,210,160,NA,NA,NA,NA,NA,NA
Double Dunk,ALE/DoubleDunk-v5,18,210,160,0.20,21.60,3.20,0.10,NA,2.00
Earthworld,ALE/Earthworld-v5,18,210,160,NA,NA,NA,NA,NA,NA
Elevator Action,ALE/ElevatorAction-v5,18,210,160,NA,NA,NA,NA,"18,100.00",0.00
Enduro,ALE/Enduro-v5,9,210,160,95.00,475.60,0.00,82.20,286.30,93.60
Entombed,ALE/Entombed-v5,18,210,160,NA,NA,NA,NA,NA,NA
Et,ALE/Et-v5,18,210,160,NA,NA,NA,NA,NA,NA
Fishing Derby,ALE/FishingDerby-v5,18,210,160,49.00,2.30,33.90,13.60,37.80,-49.80
Flag Capture,ALE/FlagCapture-v5,18,210,160,NA,NA,NA,NA,NA,NA
Freeway,ALE/Freeway-v5,3,210,160,31.00,25.80,0.00,0.10,0.40,29.00
Frogger,ALE/Frogger-v5,5,210,160,NA,NA,NA,NA,NA,NA
Frostbite,ALE/Frostbite-v5,18,210,160,370.00,157.40,266.60,180.10,270.50,"2,260.00"
Galaxian,ALE/Galaxian-v5,6,210,160,NA,NA,NA,NA,NA,NA
Gopher,ALE/Gopher-v5,8,210,160,582.00,"2,731.80","6,266.20","8,442.80","20,560.00",364.00
Gravitar,ALE/Gravitar-v5,18,210,160,805.00,216.50,256.20,269.50,"2,850.00",370.00
Hangman,ALE/Hangman-v5,18,210,160,NA,NA,NA,NA,NA,NA
Haunted House,ALE/HauntedHouse-v5,18,210,160,NA,NA,NA,NA,NA,NA
Hero,ALE/Hero-v5,18,210,160,NA,NA,NA,NA,"12,859.50","5,090.00"
Human Cannonball,ALE/HumanCannonball-v5,18,210,160,NA,NA,NA,NA,NA,NA
Ice Hockey,ALE/IceHockey-v5,18,210,160,4.10,3.80,4.90,4.70,39.40,10.60
Jamesbond,ALE/Jamesbond-v5,18,210,160,NA,NA,NA,NA,330.00,"5,660.00"
Journey Escape,ALE/JourneyEscape-v5,16,230,160,NA,NA,NA,NA,"7,683.30","17,100.00"
Kaboom,ALE/Kaboom-v5,4,210,160,NA,NA,NA,NA,NA,NA
Kangaroo,ALE/Kangaroo-v5,18,210,160,"11,200.00","2,696.00","1,357.60",106.00,"1,990.00",800.00
Keystone Kapers,ALE/KeystoneKapers-v5,14,250,160,NA,NA,NA,NA,NA,NA
King Kong,ALE/KingKong-v5,6,250,160,NA,NA,NA,NA,NA,NA
Klax,ALE/Klax-v5,18,250,160,NA,NA,NA,NA,NA,NA
Koolaid,ALE/Koolaid-v5,9,210,160,NA,NA,NA,NA,NA,NA
Krull,ALE/Krull-v5,18,210,160,"8,647.20","3,864.00","6,411.50","8,066.60","5,037.00","12,601.40"
Kung Fu Master,ALE/KungFuMaster-v5,14,210,160,NA,NA,NA,NA,"48,854.50","7,720.00"
Laser Gates,ALE/LaserGates-v5,18,250,160,NA,NA,NA,NA,NA,NA
Lost Luggage,ALE/LostLuggage-v5,9,210,160,NA,NA,NA,NA,NA,NA
Mario Bros,ALE/MarioBros-v5,18,210,160,NA,NA,NA,NA,NA,NA
Minature Golf,ALE/MiniatureGolf-v5,18,210,160,NA,NA,NA,NA,NA,NA
Montezuma Revenge,ALE/MontezumaRevenge-v5,18,210,160,0.00,50.00,0.00,53.00,0.00,0.00
Mr. Do,ALE/MrDo-v5,10,250,160,NA,NA,NA,NA,NA,0.00
Ms. Pacman,ALE/MsPacman-v5,9,210,160,NA,NA,NA,NA,"22,336.00","3,408.00"
Name This Game,ALE/NameThisGame-v5,6,210,160,"4,503.00","5,439.90","5,532.80","5,614.00","15,410.00","6,742.00"
Othello,ALE/Othello-v5,10,210,160,NA,NA,NA,NA,NA,NA
Pacman,ALE/Pacman-v5,5,250,160,NA,NA,NA,NA,NA,NA
Phoenix,ALE/Phoenix-v5,8,210,160,"4,041.00",NA,"14,104.70","28,181.80",NA,"1,762.00"
Pitfall,ALE/Pitfall-v5,18,210,160,0.00,NA,8.20,123.00,NA,0.00
Pitfall-2,ALE/Pitfall2-v5,18,210,160,NA,NA,NA,NA,NA,NA
Pong,ALE/Pong-v5,6,210,160,21.00,16.20,20.80,11.40,21.00,-17.40
Pooyan,ALE/Pooyan-v5,6,220,160,NA,NA,NA,NA,"17,763.40","1,222.00"
Private Eye,ALE/PrivateEye-v5,18,210,160,100.00,298.20,100.00,194.40,100.00,"10,747.40"
Qbert,ALE/Qbert-v5,6,210,160,147.50,"4,589.80","15,758.60","13,752.30","17,343.40",695.00
Riverraid,ALE/Riverraid-v5,18,210,160,"5,009.00","4,065.30","9,856.90","10,001.20","4,449.00","2,616.00"
Road Runner,ALE/RoadRunner-v5,18,210,160,"16,590.00","9,264.00","33,846.90","31,769.00","38,725.00","3,220.00"
Robotank,ALE/Robotank-v5,18,210,160,11.90,58.50,2.20,2.30,50.40,42.80
Seaquest,ALE/Seaquest-v5,18,210,160,"1,390.00","2,793.90","1,763.70","2,300.20","5,132.40",716.00
Sir Lancelot,ALE/SirLancelot-v5,6,250,160,NA,NA,NA,NA,NA,NA
Skiing,ALE/Skiing-v5,3,210,160,"15,442.50",NA,"15,245.80","13,700.00",-0.80,"-7,983.60"
Solaris,ALE/Solaris-v5,18,210,160,"2,090.00",NA,"2,265.00","1,884.80",NA,160.00
Space Invaders,ALE/SpaceInvaders-v5,6,210,160,678.50,"1,449.70",951.90,"2,214.70","2,718.00","1,251.00"
Space War,ALE/SpaceWar-v5,18,250,160,NA,NA,NA,NA,NA,NA
Star Gunner,ALE/StarGunner-v5,18,210,160,"1,470.00","34,081.00","40,065.60","64,393.00","1,207.10","2,720.00"
Superman,ALE/Superman-v5,18,210,160,NA,NA,NA,NA,NA,NA
SUrround,ALE/Surround-v5,5,210,160,NA,NA,NA,NA,NA,NA
Tennis ,ALE/Tennis-v5,18,210,160,4.50,2.30,11.20,10.20,2.80,0.00
Tetris,ALE/Tetris-v5,5,210,160,NA,NA,NA,NA,NA,NA
Tic-Tac-Toe,ALE/TicTacToe3D-v5,10,210,160,NA,NA,NA,NA,NA,NA
Time Pilot,ALE/TimePilot-v5,10,210,160,"4,970.00","5,640.00","4,637.50","5,825.00","63,854.50","7,340.00"
Trondead,ALE/Trondead-v5,18,210,160,NA,NA,NA,NA,NA,NA
Turmoil,ALE/Turmoil-v5,12,210,160,NA,NA,NA,NA,NA,NA
Tutankham,ALE/Tutankham-v5,8,210,160,130.30,32.40,194.30,26.10,225.50,23.60
Up N Down,ALE/UpNDown-v5,6,210,160,"67,974.00","3,311.30","75,785.90","54,525.40","74,473.60","43,734.00"
Venture,ALE/Venture-v5,18,210,160,760.00,54.00,0.00,19.00,0.00,0.00
Video Checkers,ALE/VideoCheckers-v5,5,210,160,NA,NA,NA,NA,NA,NA
Video Chess,ALE/VideoChess-v5,10,210,160,NA,NA,NA,NA,NA,NA
Video Cube,ALE/VideoCube-v5,18,210,160,NA,NA,NA,NA,NA,NA
Video Pinball,ALE/VideoPinball-v5,9,210,160,"22,834.80","20,228.10","46,470.10","185,852.60","254,748.00",0.00
Wizard of Wor,ALE/WizardOfWor-v5,10,210,160,"3,480.80",246.00,"1,587.50","5,278.00","105,500.00","3,360.00"
Word Zapper,ALE/WordZapper-v5,18,210,160,NA,NA,NA,NA,NA,NA
Yars Revenge,ALE/YarsRevenge-v5,18,210,160,"16,401.70",NA,"8,963.50","7,270.80",NA,"24,096.00"
Zaxxon,ALE/Zaxxon-v5,18,210,160,"6,380.00",831.00,5.60,"2,659.00","22,610.00","3,000.00"
