environment,action_space_type,action_space_size,obs_rows,obs_cols,source_csvs
ALE/RoadRunner-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/YarsRevenge-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|muzero.csv|rainbow_table6.csv
ALE/ChopperCommand-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Assault-v5,Discrete,7,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Centipede-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Riverraid-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv
ALE/Frostbite-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Asteroids-v5,Discrete,14,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/StarGunner-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Hero-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Surround-v5,Discrete,5,210,160,dist_rl_fig14.csv|dist_rl_quantile_reg.csv|muzero.csv|rainbow_table6.csv
ALE/Carnival-v5,Discrete,6,214,160,atari_scores.csv|compare_scores_out.csv
ALE/Enduro-v5,Discrete,9,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/TimePilot-v5,Discrete,10,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Pooyan-v5,Discrete,6,220,160,atari_scores.csv|compare_scores_out.csv
ALE/DoubleDunk-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/NameThisGame-v5,Discrete,6,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/ElevatorAction-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv
ALE/Jamesbond-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv
ALE/KungFuMaster-v5,Discrete,14,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/AirRaid-v5,Discrete,6,250,160,atari_scores.csv|compare_scores_out.csv
ALE/Phoenix-v5,Discrete,8,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|muzero.csv|rainbow_table6.csv
ALE/WizardOfWor-v5,Discrete,10,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Bowling-v5,Discrete,6,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Venture-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Breakout-v5,Discrete,4,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/MontezumaRevenge-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|muzero.csv|rainbow_table6.csv
ALE/Alien-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/BeamRider-v5,Discrete,9,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Skiing-v5,Discrete,3,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|muzero.csv|rainbow_table6.csv
ALE/JourneyEscape-v5,Discrete,16,230,160,atari_scores.csv|compare_scores_out.csv
ALE/FishingDerby-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/VideoPinball-v5,Discrete,9,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Robotank-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Gopher-v5,Discrete,8,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Atlantis-v5,Discrete,4,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Tennis-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Boxing-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Qbert-v5,Discrete,6,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Berzerk-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|muzero.csv|rainbow_table6.csv
ALE/MrDo-v5,Discrete,10,250,160,atari_scores.csv
ALE/Defender-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|muzero.csv|rainbow_table6.csv
ALE/Freeway-v5,Discrete,3,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/SpaceInvaders-v5,Discrete,6,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/WordZapper-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv
ALE/BankHeist-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/UpNDown-v5,Discrete,6,210,160,atari_scores.csv|compare_scores_out.csv|muzero.csv
ALE/CrazyClimber-v5,Discrete,9,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/DemonAttack-v5,Discrete,6,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/PrivateEye-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Pitfall-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|muzero.csv|rainbow_table6.csv
ALE/Tutankham-v5,Discrete,8,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
