game,SCOPE,rank,openai-es,dqn,a2cFF,a3cFF_1day,uct,hneat_object,hneat_pixel,hneat_noise,neat_object,neat_noise,cne_object,cne_noise,cmaes_object,random,sarsa,planning
Space Invaders,2220,2,678.50,1449.70,951.90,2214.70,2718.00,1481.00,1251.00,809.00,1481.00,1138.00,1246.00,945.00,1428.00,157.20,250.10,2718.00
Star Gunner,5200,9,1470.00,34081.00,40065.60,64393.00,1207.10,4160.00,2720.00,1260.00,9580.00,6740.00,11300.00,5900.00,9260.00,683.30,1069.50,1345.00
Tennis ,NA,NA,4.50,2.30,11.20,10.20,2.80,0.20,0.00,0.00,1.20,0.60,1.40,0.00,-1.00,-24.00,-0.10,2.80
Time Pilot,15500,3,4970.00,5640.00,4637.50,5825.00,63854.50,15640.00,7340.00,10020.00,14320.00,14600.00,13060.00,12800.00,10180.00,3660.00,3741.20,63854.50
Tutankham,NA,NA,130.30,32.40,194.30,26.10,225.50,110.00,23.60,20.40,142.40,126.00,163.40,139.00,126.00,24.30,114.30,225.50
Up N Down,13590,6,67974.00,3311.30,75785.90,54525.40,74473.60,6818.00,43734.00,11632.00,10220.00,9050.00,6466.00,7790.00,8404.00,140.30,3532.70,74473.60
Venture,900,1,760.00,54.00,0.00,19.00,0.00,400.00,0.00,0.00,340.00,200.00,160.00,200.00,0.00,0.00,66.00,66.00
Video Pinball,56266,10,22834.80,20228.10,46470.10,185852.60,254748.00,82646.00,0.00,72326.40,253986.00,426194.40,335109.00,419666.00,234699.80,14130.00,15046.80,254748.00
Wizard of Wor,NA,NA,3480.80,246.00,1587.50,5278.00,105500.00,3760.00,3360.00,6660.00,17700.00,14260.00,10720.00,15900.00,7600.00,1050.00,1981.30,105500.00
Word Zapper,342,10,NA,NA,NA,NA,NA,24405.40,24096.40,29921.00,32836.40,48288.60,21472.20,44085.00,27328.00,3252.20,NA,NA
Yars Revenge,43881,1,16401.70,NA,8963.50,7270.80,NA,4680.00,3000.00,600.00,6460.00,3600.00,6260.00,3000.00,6420.00,0.00,3365.10,22610.00
Zaxxon,7400,2,6380.00,831.00,5.60,2659.00,22610.00,14.00,5.00,0.00,17.00,4.00,10.00,3.00,8.00,NA,NA,NA
Times 1st,5,NA,3,2,4,9,21,4,0,0,4,5,2,1,3,0,0,22
Times 2nd,5,NA,4,3,13,3,6,4,2,0,6,1,2,6,5,0,1,6
Times 3rd,3,NA,6,3,3,6,4,7,3,4,8,6,9,3,5,0,0,4
Result Reported,50,NA,50,44,50,50,54,62,62,62,62,62,62,62,62,61,54,54
